연번,주소지,비고,정제_주소,위도(Latitude),경도(Longitude)
0,성주소방서,,경상북도 성주군 성주읍 주산로 193,35.933968,128.293301
1,차동골 마을회관 (성주읍 성산1리 1805),,경상북도 성주군 성주읍 성산1리 1805,35.826236,128.293521
2,시뫼실 마을회관 (성주읍 성산2리 1174-1),,경상북도 성주군 성주읍 성산2리 1174-1,35.83696,128.28296
3,모산 마을회관 (성주읍 삼산리 245),,경상북도 성주군 성주읍 삼산리 245,35.819681,128.26968
4,유월2리 마을회관 (월항면 유월2리 96-1),,경상북도 성주군 월항면 유월2리 96-1,35.842323,128.334647
5,백인 마을회관 (월항면 안포1리 540-1),,경상북도 성주군 월항면 안포1리 540-1,35.864045,128.328323
6,안포4리 마을회관 (월항면 안포4리 445),,경상북도 성주군 월항면 안포4리 445,35.840823,128.338796
7,댓기 마을회관 (성주읍 학산1리 525-3),,경상북도 성주군 성주읍 학산1리 525-3,35.839973,128.27137
8,연산 마을회관 (성주읍 금산1리 912-3),,경상북도 성주군 성주읍 금산1리 912-3,35.820455,128.270502
9,종로 마을회관 (성주읍 경산8리 12-1),,경상북도 성주군 성주읍 경산8리 12-1,35.824127,128.280743
10,말배미 마을회관 (성주읍 학산2리 297-1),,경상북도 성주군 성주읍 학산2리 297-1,35.827958,128.273737
11,작은배리 마을회관 (성주읍 경산5리 761-37),,경상북도 성주군 성주읍 경산5리 761-37,35.833356,128.269185
12,교촌 마을회관 (성주읍 예산2리 215-1),,경상북도 성주군 성주읍 예산2리 215-1,35.823764,128.275991
13,목우물 마을회관 (성주읍 백전1리 241),,경상북도 성주군 성주읍 백전1리 241,35.828682,128.288555
14,모방 마을회관 (월항면 지방리 156-1),,경상북도 성주군 월항면 지방리 156-1,35.847987,128.320569
15,원동경로당(칠선1길 51),,경상북도 성주군 월항면 칠선1길 51,35.863697,128.301858
16,어산경로당(어인로 85),,경상북도 성주군 월항면 어인로 85,35.833226,128.270116
17,고평경로당(주천로 1314-13),,경상북도 성주군 월항면 주천로 1314-13,35.816952,128.293467
18,예동 마을회관 (성주읍 예산리 393-6),,경상북도 성주군 성주읍 예산리 393-6,35.843969,128.289252
19,용산2리 마을회관 (성주읍 용산2리 1058-1),,경상북도 성주군 성주읍 용산2리 1058-1,35.824138,128.26793
20,부인 마을회관 (월항면 인촌리 299),,경상북도 성주군 월항면 인촌리 299,35.867369,128.317606
21,칠선1리마을회관(칠선리 656),,경상북도 성주군 월항면 칠선리 656,35.844882,128.319807
22,봉정경로당(봉정1길 1),,경상북도 성주군 월항면 봉정1길 1,35.841376,128.336373
23,용봉1리마을회관(용봉리 1094-4),,경상북도 성주군 월항면 용봉리 1094-4,35.850351,128.326501
24,큰배리 마을회관 (성주읍 경산리6리 604-1),,경상북도 성주군 성주읍 경산리6리 604-1,35.824351,128.280602
25,세록골 마을회관 (성주읍 예산리 491-1),,경상북도 성주군 성주읍 예산리 491-1,35.831401,128.270546
26,조지미 마을회관 (성주읍 용산1리 655-1),,경상북도 성주군 성주읍 용산1리 655-1,35.844088,128.288254
27,작촌 마을회관 (월항면 인촌1리 606-1),,경상북도 성주군 월항면 인촌1리 606-1,35.87758,128.335793
28,칠선2리마을회관(칠선3길 12),,경상북도 성주군 월항면 칠선3길 12,35.863916,128.336875
29,봉정리1리마을회관(봉정1길 24),,경상북도 성주군 월항면 봉정1길 24,35.84354,128.307839
30,용봉리2경로당(용봉2길 30),,경상북도 성주군 월항면 용봉2길 30,35.841809,128.313013
